currentGold,goldPerSecond,jungleMinionsKilled,level,minionsKilled,participantId,timeEnemySpentControlled,totalGold,xp,summonerName,timestamp,gameId,abilityHaste,abilityPower,armor,armorPen,armorPenPercent,attackDamage,attackSpeed,bonusArmorPenPercent,bonusMagicPenPercent,ccReduction,cooldownReduction,health,healthMax,healthRegen,lifesteal,magicPen,magicPenPercent,magicResist,movementSpeed,omnivamp,physicalVamp,power,powerMax,powerRegen,spellVamp,magicDamageDone,magicDamageDoneToChampions,magicDamageTaken,physicalDamageDone,physicalDamageDoneToChampions,physicalDamageTaken,totalDamageDone,totalDamageDoneToChampions,totalDamageTaken,trueDamageDone,trueDamageDoneToChampions,trueDamageTaken,positionX,positionY
50,0,0,5,40,4,9397,2050,2042,JDG Ruler,7.00255,2677225,0,0,46,0,0,107,123,0,0,0,0,939,939,10,0,0,0,34,350,0,0,414,414,19,0,158,158,580,8375,721,1476,8533,880,2068,0,0,10,9800,1110
114,20,0,3,7,5,13677,1504,1030,JDG MISSING,7.00255,2677225,0,14,43,0,0,67,104,0,0,5,0,936,936,17,0,0,0,43,360,0,0,316,388,18,0,182,182,1090,511,185,1662,1938,368,2752,1243,0,0,10705,2085
154,0,0,6,41,6,25049,1954,2855,BLG Bin,7.00255,2677225,0,0,52,0,0,90,148,0,0,36,0,1021,1196,29,0,0,0,73,395,0,0,620,624,20,0,3773,766,2664,7860,914,785,11634,1680,3449,0,0,0,2320,12887
353,0,31,4,0,7,108540,1903,1515,BLG XUN,7.00255,2677225,0,9,56,0,0,71,104,0,0,0,0,734,1231,13,0,0,0,36,335,0,0,252,472,78,0,12686,239,540,5412,50,3553,24647,308,4094,6548,18,0,10275,4668
666,0,0,6,60,8,74504,2261,3049,BLG Yagao,7.00255,2677225,0,64,49,0,0,65,142,0,0,0,0,1043,1043,17,0,0,0,35,416,0,0,245,943,22,0,10017,1221,180,7062,303,1079,22111,1566,1260,5031,41,0,9937,6410
391,0,0,5,45,9,76879,2191,1750,BLG Elk,7.00255,2677225,0,0,44,0,0,137,125,0,0,0,0,895,895,9,0,0,0,34,325,0,0,321,477,15,0,1535,134,337,13563,1518,1277,15099,1653,1614,0,0,0,10219,4848
523,0,0,7,63,1,128847,2528,3800,JDG 369,8.0028,2677225,0,85,67,0,0,80,109,0,0,0,0,1268,1268,15,0,0,0,41,330,0,0,935,1217,19,0,16723,2772,766,5806,344,1372,22529,3117,2139,0,0,0,3246,13201
843,20,0,5,1,10,49240,2043,1935,BLG ON,8.0028,2677225,0,26,50,0,0,55,106,0,0,6,0,866,1026,15,0,0,0,34,355,0,0,583,889,32,0,3687,1749,572,2228,537,810,5916,2287,1382,0,0,0,13264,4884
451,0,39,5,1,2,253012,2656,2117,JDG Kanavi,8.0028,2677225,0,0,54,0,0,71,113,0,0,9,0,1170,1217,44,0,0,0,71,350,0,0,364,545,67,0,15306,448,335,9357,167,3939,34804,616,4275,10140,0,0,11236,6075
941,0,0,7,77,3,49278,2686,3987,JDG knight,8.0028,2677225,0,0,61,0,0,95,114,0,0,30,0,1059,1228,25,0,0,0,84,380,0,0,343,793,19,0,1718,391,1483,19592,1253,623,21311,1645,2169,0,0,62,7744,7520
561,0,0,6,59,4,11428,2561,2591,JDG Ruler,8.0028,2677225,0,0,50,0,0,111,207,0,0,0,0,1025,1025,11,1,0,0,35,350,0,0,425,457,21,0,158,158,580,10826,732,1518,10985,891,2109,0,0,10,12299,2534
373,20,0,4,11,5,13677,1763,1556,JDG MISSING,8.0028,2677225,0,14,47,0,0,69,106,0,0,5,0,1014,1014,18,0,0,0,44,360,0,0,338,428,19,0,302,302,1090,862,185,1662,3054,487,2752,1889,0,0,13060,3546
471,0,0,7,49,6,25049,2271,3411,BLG Bin,8.0028,2677225,0,0,56,0,0,93,145,0,0,39,0,1181,1285,30,0,0,0,74,395,0,0,509,670,21,0,4528,766,2772,8908,914,803,13437,1680,3576,0,0,0,4074,13820
725,0,43,5,0,7,129624,2275,2145,BLG XUN,8.0028,2677225,0,9,61,0,0,74,106,0,0,6,0,851,1321,14,0,0,0,38,335,0,0,145,507,118,0,17336,239,1284,7265,50,4254,33441,308,5539,8839,18,0,7997,9772
1095,0,0,7,75,8,81531,2690,3758,BLG Yagao,8.0028,2677225,0,64,53,0,0,68,119,0,0,6,0,928,1136,18,0,0,0,36,330,0,0,230,1003,23,0,12388,1366,200,8442,303,1338,25875,1724,1539,5044,54,0,8310,8472
635,0,0,5,48,9,76879,2440,2025,BLG Elk,8.0028,2677225,0,0,44,0,0,137,125,0,0,6,0,895,895,9,1,0,0,34,325,0,0,414,477,15,0,1535,134,337,15840,1518,1288,17375,1653,1625,0,0,0,13308,4470
688,0,0,7,65,1,141187,2693,4047,JDG 369,9.00305,2677225,0,85,67,0,0,80,109,0,0,0,0,1073,1268,99,0,0,0,41,330,0,0,591,1217,19,0,18858,3355,1149,5858,396,1675,24716,3751,2824,0,0,0,1893,11465
1061,30,0,5,1,10,53471,2261,2178,BLG ON,9.00305,2677225,0,33,50,0,0,55,106,0,0,6,0,601,1086,15,0,0,0,34,355,0,0,486,889,38,0,3997,2058,750,2301,610,1050,6298,2669,1800,0,0,0,9759,7117
831,0,39,5,1,2,263829,3036,2328,JDG Kanavi,9.00305,2677225,0,0,54,0,0,71,113,0,0,11,0,187,1217,20,0,0,0,71,350,0,0,379,545,20,0,15739,561,335,9426,237,5051,35342,834,5386,10176,36,0,7018,7373
1707,0,0,8,89,3,63761,3452,4795,JDG knight,9.00305,2677225,0,0,50,0,0,92,117,0,0,30,0,310,1335,121,0,0,0,70,433,0,0,40,884,21,0,4023,624,2439,23513,1887,982,27536,2511,3505,0,0,84,8032,7545
1081,0,0,6,73,4,11428,3081,3078,JDG Ruler,9.00305,2677225,0,0,50,0,0,111,127,0,0,0,0,1025,1025,11,1,0,0,35,350,0,0,269,457,21,0,158,158,580,17331,886,1557,17489,1044,2149,0,0,10,10460,3291
621,20,0,5,12,5,13677,2011,1857,JDG MISSING,9.00305,2677225,0,14,51,0,0,72,109,0,0,7,0,1004,1095,26,0,0,0,46,326,0,0,327,469,20,0,480,480,1399,1029,282,1735,3493,763,3135,1983,0,0,9554,6367
890,0,0,8,63,6,26121,2690,4211,BLG Bin,9.00305,2677225,0,0,60,0,0,97,175,0,0,44,0,883,1392,71,0,0,0,76,395,0,0,390,719,23,0,5581,1149,3355,11678,1216,905,17260,2365,4260,0,0,0,2438,12110
102,0,47,6,1,7,143295,2507,2444,BLG XUN,9.00305,2677225,0,49,65,0,0,77,108,0,0,6,0,1415,1415,15,0,0,0,40,335,0,0,452,544,19,0,21616,239,1284,7492,50,4455,39675,308,5739,10566,18,0,9124,8860
1376,0,0,8,83,8,87324,2971,4219,BLG Yagao,9.00305,2677225,0,64,57,0,0,70,121,0,0,6,0,0,1233,19,0,0,0,37,330,0,0,199,1081,25,0,16132,2321,545,9358,478,2124,30557,2876,2706,5066,76,36,9101,8692
1017,0,0,6,60,9,76879,2822,2639,BLG Elk,9.00305,2677225,0,0,48,0,0,140,127,0,0,6,0,982,982,10,1,0,0,35,325,0,0,467,513,16,0,1535,134,337,19204,1518,1401,20740,1653,1738,0,0,0,13248,3914
